POLITICAL_UNIT,NAME,WGMS_ID,YEAR,HIGHEST_ELEVATION,MEDIAN_ELEVATION,LOWEST_ELEVATION,ELEVATION_UNC,LENGTH,LENGTH_UNC,AREA,AREA_UNC,SURVEY_DATE
AQ,BAHIA DEL DIABLO,2665,2004,630,390,50,0.5,7.6,0.01,,,20040201
AQ,BAHIA DEL DIABLO,2665,2010,630,390,50,0.5,7.6,0.01,14.3,,20100228
AQ,BAHIA DEL DIABLO,2665,2014,630,390,50,0.5,7.6,0.01,12.9,0.23,20140301
AQ,BAHIA DEL DIABLO,2665,2015,630,390,50,0.5,7.6,0.01,12.9,0.23,20150226
AQ,BAHIA DEL DIABLO,2665,2016,630,390,50,1,7.6,0.01,12.9,0.23,20160228
AQ,DAVIES DOME,10404,2006,515,368,124,1,3.43,,4.94,0.01,20069999
AQ,WHISKY GLACIER (IJR-45),10403,2006,520,341,215,1,3.19,,2.4,0.01,20069999
AR,AGUA NEGRA,4532,2000,5208,,4752,5,2.19,0.01,1.21,0.05,20000220
AR,AGUA NEGRA,4532,2006,5208,,4752,5,2.15,0.01,1.13,0.05,20061222
AR,AGUA NEGRA,4532,2010,5208,5015,4753,5,2.12,0.01,1.05,0.05,20100414
AR,AGUA NEGRA,4532,2013,5208,,4754,5,2.05,0.01,1.02,0.05,20130409
AR,AGUA NEGRA,4532,2016,5208,,4760,5,2.02,0.01,0.98,0.05,20160331
AR,ALFA,10453,2010,5590,,4632,10,1.987,0.03,1.0561,0.1,20100323
AR,ALFA,10453,2017,5337,,4615,10,1.722,0.03,0.9691,0.1,20170331
AR,ALTO DEL PLOMO,922,2010,5195,5015,3888,10,8.757,0.03,15.3374,0.1,20100323
AR,ALTO DEL PLOMO,922,2017,5195,,3881,10,8.757,0.03,15.2184,0.1,20170331
AR,AZUFRE,2851,2005,3700,3350,2850,20,3.5,0.05,3.87,,20050125
AR,AZUFRE,2851,2007,3700,3350,2850,50,3.5,0.05,,,20070320
AR,AZUFRE,2851,2009,3700,3350,2850,20,3.5,0.05,,,20050125
AR,AZUFRE,2851,2010,3978,,2973,10,3.455,0.03,3.9396,,20100327
AR,AZUFRE,2851,2016,3978,,3067,10,3,0.03,3.07,,20160319
AR,BAJO DEL PLOMO,10455,2010,5244,,4124,10,7.591,0.03,17.3078,0.1,20100323
AR,BAJO DEL PLOMO,10455,2017,5232,,4124,10,7.468,0.03,16.4262,0.1,20170331
AR,BETA,10454,2010,5800,,4052,10,3.63,0.03,2.2789,0.1,20100323
AR,BETA,10454,2017,5805,,4060,10,3.504,0.03,2.1759,0.1,20170331
AR,BROWN SUPERIOR,3903,2015,5115,5060,4965,5,0.57,0.005,0.1751,0.0001,20150503
AR,CAMISA,3591,2007,5950,5000,3950,50,6.69,0.05,,,20070302
AR,CAMISA,3591,2017,5955,,3934,10,6.6,0.03,22.47,0.1,20170406
AR,CANITO,4529,2009,5155,5039,4865,10,1.618,0.01,0.84,0.01,20090204
AR,CANON HISPANO,3592,2007,5150,5000,3950,50,6.29,0.05,,,20070302
AR,COBRE,10457,2011,3892,,3000,10,4.091,0.03,5.68,,20110408
AR,COBRE,10457,2016,3892,,3451,10,3.815,0.03,5.16,,20160319
AR,CONCONTA NORTE,3902,2015,5125,5050,4950,5,0.52,0.01,0.0704,0.0001,20150506
AR,DE LOS TRES,1675,2000,1960,,1195,5,1.619,0.03,0.9153,0.1,20000113
AR,DE LOS TRES,1675,2005,1960,,1195,5,1.558,0.03,0.9018,0.1,20050218
AR,DE LOS TRES,1675,2011,1960,,1195,5,1.513,0.03,0.8784,0.1,20110220
AR,DE LOS TRES,1675,2013,1960,,1195,5,1.484,0.01,0.8078,0.1,20130412
AR,DE LOS TRES,1675,2015,1960,,1195,5,1.462,0.01,0.8002,0.1,20150114
AR,DE LOS TRES,1675,2018,1960,,1205,10,,,0.753,0.01,20180314
AR,DE LOS TRES,1675,2019,1853,,1228,10,,,0.732,0.01,20190330
AR,GRANDE DEL NEVADO DEL PLOMO,3304,2010,5512,4430,3505,10,8.22,0.03,3.4106,0.1,20100323
AR,GUSSFELDT,2848,2005,5300,4950,4310,20,6.57,0.05,14.67,,20050125
AR,GUSSFELDT,2848,2007,5564,,4384,10,6.346,0.03,12.79,,20070320
AR,GUSSFELDT,2848,2009,5300,4950,4310,20,6.57,0.05,,,20050125
AR,GUSSFELDT,2848,2010,5564,4979,4384,10,6.35,0.03,11.98,,20100327
AR,GUSSFELDT,2848,2013,5564,,4384,10,6.34,0.03,11.27,,20130402
AR,GUSSFELDT,2848,2015,5564,,4384,10,6.34,0.03,11.09,,20150318
AR,GUSSFELDT,2848,2017,5564,,4384,10,6.34,0.03,11.04,,20170306
AR,HORCONES INFERIOR,919,2005,4825,4100,3475,20,12.15,0.05,6.17,,20050125
AR,LOS AMARILLOS,3904,2009,5535,5280,4592,10,1.622,0.01,1.07,0.01,20090204
AR,LOS AMARILLOS,3904,2015,5535,5275,4915,5,1.53,0.01,0.7796,0.0001,20150399
AR,MARMOLEJO,3590,2007,5950,5300,3400,50,9.72,0.05,,,20070302
AR,MARMOLEJO,3590,2017,6083,,3420,10,9.5,0.03,10.75,0.1,20170406
AR,MARTIAL,917,2002,1170,1050,940,10,,,,,20030425
AR,MARTIAL,917,2003,1170,1050,940,10,0.45,10,,,20040414
AR,MARTIAL ESTE,2000,2011,1180,1074,965,10,0.35,0.01,,,20110330
AR,PENON,2850,2005,4100,3650,3180,20,3.1,0.05,4.42,,20050125
AR,PENON,2850,2007,4100,3650,3180,50,3.19,0.05,,,20070320
AR,PENON,2850,2009,4100,3650,3180,20,3.1,0.05,,,20050125
AR,PENON,2850,2010,4063,,3123,10,1.918,0.03,3.54,,20100327
AR,PENON,2850,2016,4063,,3313,10,1.478,0.03,2.79436,,20160319
AR,PILOTO ESTE,3589,2010,4715,4500,4285,10,1.29,0.01,0.54,0.01,20130412
AR,POTRERILLOS,4530,2009,5365,5270,5165,10,0.506,0.01,0.25,0.01,20090204
AR,SALINILLAS,3594,2007,5500,4300,3275,50,6.84,0.05,,,20070302
AR,SAN JOSE,3593,2007,5700,4600,3500,50,5.59,0.05,,,20070302
AR,SAN JOSE,3593,2017,5550,,3253,10,6.9,0.03,9.33,0.1,20170406
AR,TORTOLAS,4531,2010,6055,5710,5300,10,1.652,0.01,2.19,0.01,20100414
AR,TUPUNGATO,4528,2010,6529,5297,4399,10,7.342,0.03,11.61,0.1,20100323
AR,TUPUNGATO,4528,2017,6536,,4423,10,7.281,0.03,11.48,0.1,20170331
AR,TUPUNGATO 01,2852,2005,6600,5300,4380,50,8.07,0.05,,,20060125
AR,TUPUNGATO 01,2852,2007,6600,5300,4380,50,8.06,0.05,,,20070320
AR,TUPUNGATO 01,2852,2009,6600,5300,4380,50,8.06,0.05,,,20070320
AR,TUPUNGATO 02,2853,2005,6100,5100,4600,50,3.34,0.05,,,20070125
AR,TUPUNGATO 02,2853,2007,6100,5100,4600,50,3.34,0.05,,,20070320
AR,TUPUNGATO 02,2853,2009,6100,5100,4600,50,3.34,0.05,,,20070320
AR,TUPUNGATO 03,2854,2005,6400,5650,4650,50,2.99,0.05,,,20080125
AR,TUPUNGATO 03,2854,2007,6400,5650,4625,50,2.99,0.05,,,20070320
AR,TUPUNGATO 03,2854,2009,6400,5650,4625,50,2.99,0.05,,,20070320
AR,TUPUNGATO 04,2855,2005,6450,6050,4800,50,3.28,0.05,,,20090125
AR,TUPUNGATO 04,2855,2007,6450,6050,4775,50,3.28,0.05,,,20070320
AR,TUPUNGATO 04,2855,2009,6450,6050,4775,50,3.28,0.05,,,20070320
AR,VACAS,2849,2005,5400,4700,3730,20,6.08,0.05,18.23,,20050125
AR,VACAS,2849,2007,5478,,3868,10,5.594,0.03,18.41996,,20070320
AR,VACAS,2849,2009,5400,4700,3730,20,6.08,0.05,,,20050125
AR,VACAS,2849,2010,5478,4787,3890,10,5.149,0.03,17.25,,20100327
AR,VACAS,2849,2013,5478,,3896,10,5.082,0.03,17.28,,20130402
AR,VACAS,2849,2015,5478,,3896,10,5.048,0.03,17.03,,20150318
AR,VACAS,2849,2017,5478,,4014,10,5.018,0.03,16.89,,20170306
