NAME,LATITUDE,LONGITUDE
NORTHERN ISSIK,37.1,73.235
PIR YAKH,35.595,70.17
ABBOTSMITH,-53.57,73.4
ADAMS,-78.1,163.75
ALBERICH,-77.58,161.62
ANVERS I ICE CAP,-64.75,-63.75
ASTROLABE,-66.7,140
BAHIA DEL DIABLO,-63.82,-57.43
BARRE,-66.58,138.67
BARTLEY,-77.52,162.23
BAUDISSIN,-53.63,73.42
BELLINGSHAUSEN,-62.165,-58.885
BIRLEY,-65.93,-64.45
BROWN,-53.58,73.63
BYRD STATION,-80,-120
CANADA,-77.58,162.75
CLARK CPI,-77.42,162.33
COLEY GLACIER,-64.15,-57.22
COMMANDANT CHARCOT,-66.4,136.58
COMMONWEALTH,-77.55,163.08
COMPTON,-53.62,73.62
DAVID GLACIER,-75.3,162
DAVIES DOME,-63.88333,-58.05
DIBBLE,-66.17,134.83
E SKEP PT. G,-64.07,-57.28
E WILKES LAND,-69,120
FINGER,-77.7,161.48
FLAGSTAFF,-62.08,-58.41
FRANCAIS,-66.53,138.25
FROST,-67.08,139
G1,-63,-60.6
GALINDEZ ICE CAP,-65.25,-64.28
GARWOOD,-78.03,163.92
GOODSPEED,-77.42,162.38
GOURDON,-64.25,-57.33
HART,-77.5,162.35
HEIMDALL,-77.58,162.87
HOBBS,-64.29,-57.42
HOWARD,-77.76,163.51
HUGHES,-77.736,162.466
HURD,-62.6878,-60.4015
HURLEY,-67.57,-68.44
JACKA,-53,73.33
JEREMY SYKES,-77.6,161.55
JOHNSONS,-62.669,-60.3539
KALESNIKA,-82.06,-41.41
KEMP LAND,-73,58
LA CROIX,-77.65,162.47
LAMBERT BASIN,-71,68
LIOTARD,-66.62,139.53
MARRET,-66.42,137.78
MAY,-66.15,130.45
MESERVE MPII,-77.55,162.37
MIERS,-78.08,163.75
MOIDER,-67.7,-67.67
N MOUNT REES G,-67.05,-67.97
NE ADELAIDE I G,-66.92,-68.02
PACKARD,-77.33,162.13
POURQUOI PAS,-66.22,135.67
SANDFORD,-66.67,129.48
SCHLATTER,-77.7,161.43
SHAMBLES,-67.37,-68.27
SHELDON,-67.52,-68.29
SPARTAN,-71.05,-68.33
SQUARE BAY,-67.93,-66.88
STEPHENSON,-53.55,73.68
STRANDLINE,-74.7,164.03
SUESS,-77.63,162.67
TARN FLAT,-75,165
TAYLOR AN,-77.75,162
THUNDER,-64.83,-63.44
VAHSEL,-53.6,73.38
VICTORIA LOWER,-77.37,162.28
VICTORIA UPPER,-77.27,161.5
W LANDAUER PT G,-67.08,-67.89
W SKEP PT. G,-64.07,-57.37
W ULA PT. G,-64.08,-57.16
W WILKES LAND,-69,110
WHISKY BAY G,-63.91,-58.1
WHISKY GLACIER (IJR-45),-63.93333,-57.95
WINSTON,-53.53,73.63
WRIGHT LOWER,-77.42,162.83
WRIGHT UPPER B,-77.55,166.5
ZELEE,-66.8,141.17
AGASSIZ,-50.0301,-73.4014
AGUA NEGRA,-30.1649,-69.8094
ALERCE,-41.17,-71.82
ALFA,-33.0769,-70.0649
ALTO DEL PLOMO,-32.9897,-70.0069
AMEGHINO,-50.455,-73.315
AZUFRE,-35.29,-70.55
BAJO DEL PLOMO,-33.0117,-69.9658
BETA,-33.0875,-70.0567
BOLADOS,-50.0719,-73.4391
BONETE S,-41.45,-71
BROWN SUPERIOR,-29.983,-69.642
CAMISA,-33.7714,-69.8657
CANITO,-29.3673,-70.0086
CANON HISPANO,-33.4712,-69.5059
CASTANO OVERO,-41.18,-71.83
CERRO MARMOLEJO EAST GLACIER,-33.7346,-69.8408
CHICO,-49.05,-73.15
COBRE,-34.997,-70.327
COLINA (COLINO),-33.83,-69.8828
CONCONTA NORTE,-29.976,-69.645
DE LOS TRES,-49.33,-73
EAST OF CERRO POLLERAS,-33.2548,-69.9001
ESPERANZA NORTE,-42.13055,-72.05347
FRIAS,-41.15,-71.83
FRIAS,-50.75,-75.08
FRIAS,-50.6832,-73.1204
GLACIER B,-33.4915,-69.7567
GRANDE DEL JUNCAL GLACIER JUNCAL I,-33.0597,-70.0644
GRANDE DEL NEVADO DEL PLOMO,-33.1208,-70.0331
GUSSFELDT,-32.61,-70.03
HEIM,-50.1543,-73.3455
HORCONES INFERIOR,-32.68,-69.98
HUMO,-34.55,-70.13
INNOMIATE,-33.1636,-70.0352
JUNCAL SUR,-33.0935,-70.1163
LAGO DEL DESIERTO I,-49.0532,-72.9137
LAGO DEL DESIERTO II,-49.0613,-72.9234
LAGO DEL DESIERTO III,-49.07,-72.93
LAGUNA,-34.4935,-70.1125
LAS LENAS,-35.132,-70.146
LOS AMARILLOS,-29.2963,-69.9954
MANSO,-41.18,-71.87
MARCONI,-49.2297,-73.1251
MARMOLEJO,-33.7308,-69.8573
MARTIAL,-54.78,-68.42
MARTIAL ESTE,-54.78,-68.4
Martial Este,-54.7862,-68.4093
MORENO,-50.5,-73.12
NARVAEZ GRANDE,-48.4716,-72.3397
NEVADO DEL PIUQUENES EAST GLACIER,-33.5435,-69.8033
ONELLI,-50.134,-73.4717
PENON,-35.27,-70.56
PIEDRAS BLANCAS,-49.2624,-73.0116
PILOTO ESTE,-32.5887,-70.1421
POTRERILLOS,-29.3896,-70.0102
RIO MUSEO (DEL RIO),-33.2572,-69.9236
SALINILLAS,-33.5102,-69.5171
SAN JOSE,-33.8211,-69.8762
SAN LORENZO SUR,-47.6334,-72.3034
SECO,-50.1739,-73.3219
TORRE,-49.325,-73.07
TORTOLAS,-29.9369,-69.8856
TUNEL INFERIOR,-49.3583,-73.0828
TUNEL SUPERIOR,-49.3716,-73.1154
TUPUNGATO,-33.3509,-69.723
TUPUNGATO 01,-33.39,-69.75
TUPUNGATO 02,-33.38,-69.75
TUPUNGATO 03,-33.36,-69.75
TUPUNGATO 04,-33.34,-69.75
UPSALA,-50,-73.28
UPSALA + CONO,-49.8866,-73.4697
VACAS,-32.55,-69.99
VIEDMA,-49.45,-73.2
VIEDMA,-49.359,-73.2843
VINCIGUERRA,-54.73,-68.34
AEU.PIRCHLKAR,47,10.92
ALP.KRAEUL F.,47.05,11.15
ALPEINER F.,47.05,11.13
BACHFALLEN F.,47.08,11.08
BAERENKOPF K.,47.14,12.723
BERGLAS F.,47.07,11.12
BIELTAL F.,46.88,10.13
BIELTAL F. E,46.87,10.13
BIELTAL F. W,46.87,10.13
BIELTALFERNER MITTE,46.88,10.13
BILDSTOECKL F.,47,11.1
BOCKKOGEL F.,47.03,11.12
BRENNKOGL K.,47.1,12.8
DAUNKOGEL F.,47,11.1
DIEM F.,46.8106,10.9454
DORFER K.,47.1,12.33
E.GRUEBL F.,46.98,11.23
EISER K.,47.15,12.68
EISKAR G.,46.62,12.9
FERNAU F.,46.98,11.13
FILLECK K.,47.14,12.597
FIRMISAN F.,46.82667,10.95
FREIGER F.,46.97,11.2
FREIWAND K.,47.1,12.75
FROSNITZ K.,47.08,12.4
FRUSCHNITZ K.,47.08,12.67
FURTSCHAGL K.,47,11.77
GAISKAR F.,46.97,11.12
GAISSBERG F.,46.83,11.07
GEPATSCH F.,46.85,10.77
GOESSNITZ K.,46.97,12.75
GOLDBERG K.,47.04,12.97
GR. GOSAU G.,47.48,13.6
GRANATSPITZ K.,47.13,12.59
GRAWAWAND F.,47.11,11.1636
GRIESKOGL K.,47.17,12.68
GROSSELEND K.,47.03,13.32
GRUENAU F.,46.98,11.2
GURGLER F.,46.8,10.98
GUSLAR F.,46.85,10.8
HABACH K.,47.15,12.37
HALLSTAETTER G.,47.48,13.62
HAUER F.,47.047,10.912
HINTEREIS F.,46.8,10.77
HOCHALM K.,47.02,13.33
HOCHJOCH F.,46.78,10.82
HOCHKOENIG,47.4242,13.0581
HOCHMOOS F.,47.05,11.15
HOFMANNS K.,47.07,12.72
HORN K. (SCHOB.),46.97,12.77
HORN K. (ZILLER),47,11.82
HT. OELGRUBEN F.,46.8936,10.7704
INN. PIRCHLKAR,47,10.92
JAMTAL F.,46.85805,10.15564
KA. TAUERN K. S,47.12,12.6
KAELBERSPITZ K.,47.03,13.28
KALSER BAERENKOPF K.,47.11,12.6
KARLES F.,46.93,10.92
KARLINGER K.,47.13,12.7
KESSELWAND F.,46.8383,10.7933
KLEINEISER K.,47.15,12.67
KLEINELEND K.,47.07,13.25
KLEINER SONNBLICK K.,47.05,12.97
KLEINFLEISS K.,47.053,12.9472
KLOCKERIN K.,47.15,12.73
KLOSTERTALER M,46.87,10.07
KLOSTERTALER N,46.87,10.07
KLOSTERTALER S,46.87,10.07
KRIMMLER K.,47.08,12.25
KRIMMLER K. EAST,47.08,12.25
KRIMMLER K. MITTLERE ZUNGE,47.08,12.27
KRUML K.,47.0818,12.9344
LAENGENTALER F.,47.08,11.1
LANDECK K.,47.13,12.58
LANGTALER F.,46.7888,11.0193
LAPERWITZ K.,47.1,12.65
LARAIN F.,46.9,10.22
LATSCH F.,46.855,10.96167
LIESENSER F.,47.084,11.1225
LITZNER G.,46.8815,10.0479
LITZNER G. SW,46.88,10.04
MARZELL F.,46.78,10.88
MAURER K. (GLO.),47.18,12.68
MAURER K. (VEN.),47.08,12.3
MITTELBERG F.,46.92,10.9
MITTERKAR F.,46.88,10.87
MUTMAL F.,46.78,10.92
NIEDERJOCH F.,46.78,10.87
OBERSULZBACH K.,47.111,12.2931
OCHSENTALER G.,46.85,10.1
OEDENWINKEL K.,47.1095,12.6453
PASTERZE,47.1,12.7
PFAFFEN F.,46.9647,11.135
PFANDLSCHARTEN,47.08,12.78
PITZTALERJOECHL,46.93,10.92
PLESSNITZ K.,47.05145,13.25215
PRAEGRAT K.,47.1189,12.5885
RETTENBACH F.,46.93,10.93
RIFFL K. N,47.13,12.67
RIFFLKAR K.,47.13,12.67
ROFENKAR F.,46.88,10.88
ROTER KNOPF K.,46.97,12.75
ROTMOOS F.,46.82,11.05
SCHALF F.,46.78,10.93
SCHATTENSPITZ,46.88,10.08
SCHAUFEL F.,46.98,11.12
SCHLADMINGER G.,47.47,13.63
SCHLAPPEREBEN K.,47.03,13.03
SCHLATEN K.,47.1122,12.3839
SCHLEGEIS K.,46.98,11.77
SCHMIEDINGER K.,47.18,12.68
SCHNEEGLOCKEN,46.87,10.1
SCHNEELOCH G.,47.5,13.6
SCHOENACH K.,47.148,12.0763
SCHWARZENBERG F.,47.05,11.12
SCHWARZENSTEIN,47.02,11.85
SCHWARZKARL K.,47.17,12.67
SCHWARZKOEPFL K.,47.143,12.713
SCHWARZMILZ F.,47.297,10.296
SCHWEIKERT F.,47.02833,10.81
SEEKARLES F.,46.977,10.815
SEXEGERTEN F.,46.9,10.8
SIMILAUN F.,46.78,10.88
SIMMING F.,46.98,11.25
SIMONY K.,47.07,12.27
SPIEGEL F.,46.83,10.95
STUBACHER SONNBLICK K.,47.13,12.6
STUBACHER WEISSSEE K.,47.123,12.615
SULZENAU F.,46.98,11.15
SULZENAU F. STUBE,46.98,11.15
SULZTAL F.,47,11.08
TASCHACH F.,46.9016,10.8486
TAUERN K.,47.12,12.6
TAUFKAR F.,46.88,10.9
TEISCHNITZ K.,47.07,12.68
TOTENFELD,46.88,10.15
TOTENKOPF K.,47.13,12.66
TRIEBENKARLAS F.,46.956,11.15
UEBERGOSSE ALM,47.43,13.07
UMBAL K.,47.05,12.25
UNT. RIFFL K.,47.13,12.67
UNTERSULZBACH K.,47.13,12.35
VENEDIGER K.,47.125,12.34
VERBORGENBERG F.,47.07,11.12
VERMUNT G.,46.85,10.13
VERNAGT F.,46.88,10.82
VILTRAGEN K.,47.13,12.37
VOG. OCHSENKAR K.,47.05,12.97
VORDERER KASTEN K.,47.0978,12.6443
W. GRUEBL F.,46.98,11.22
W. TRIPP K.,47.02,13.32
WASSERFALLWINKL,47.12,12.72
WAXEGG K.,47,11.8
WEISSEE F.,46.85,10.72
WESTLICHER GRUEBLER F. W,46.974,11.23
WESTLICHES WURTEN K.,47.03,13
WIELINGER K.,47.15,12.75
WILDGERLOS,47.1507,12.1059
WINKL K.,47.02,13.32
WURFER K.,47.17,12.68
WURTEN K.,47.0388,13.0054
ZETTALUNITZ/MULLWITZ K.,47.08,12.38
SNESHNIKA,41.771,23.401
CHACALTAYA,-16.35054,-68.12725
CHARQUINI NORTE,-16.295,-68.1
CHARQUINI OESTE,-16.299,-68.116
CHARQUINI SUR,-16.303,-68.107
CHARQUINI SURESTE,-16.306,-68.094
JANKHU UYU,-16.05,-68.32
WILA LLUXITA,-16.05,-68.3
ZONGO,-16.28,-68.14
BACHAMANCHA,28.0319,90.678
BALIJIA GLACIER,28.187,90.365
BAQUDE GLACIER,28.239,90.327
CUOGALONG GLACIER,28.066,90.549
GABU GLACIER,28.198,89.911
GANGJU LA,27.94,89.95
GANGZEGAJI GLACIER,28.037,90.862
GEGU GLACIER,28.219,90.341
GONGZHANG GLACIER,28.048,90.572
GONGZHANG GLACIER,28.038,90.584
LIANGGANG GLACIER,28.124,90.355
LUGGE,28.12,90.2
SHIE GLACIER,28.18,90.107
SHIE GLACIER,28.21,90.138
SHIMO GLACIER,28.192,90.039
TARINA,28.106,89.899
ZENG GLACIER,28.192,90.255
ZHENXIELI GLACIER,28.242,90.293
ABRAHAM,58.9378,-63.5506
AGASSIZ ICE CAP,80.4,-75
AHNKATTIE,59.7033,-137.7833
AIRDROP,79.8896,-93.0352
ALBERTA,60.941,-140.82
ALCAN 1,60.73,-140.703
ALCAN 2,60.73,-140.703
ALEXANDER,57.1,-130.82
ALFRED NEWTON,78.5848,-75.2372
ALKI,59.766,-137.505
ALTA,59.7622,-137.6431
ANDERSON,61.116,-140.845
ANDREI,56.93,-130.97
ANGEL,52.68,-118.6
APE,52.08,-126.22
ASULKAN,51.2,-117.2
ATAVIST,51.13,-126.22
ATHABASCA,52.195,-117.25
BABY,79.44158,-90.95778
BACKE JACKAL,61.212,-140.335
BALDWIN-FRASER,60.73,-140.703
BARNES ICE CAP,70,-73.5
BARNES ICE CAP NORTH OF 70N,70.2,-73.6
BARNES ICE CAP SOUTH DOME N SLOPE,69.78,-72.42
BARNES ICE CAP SOUTH DOME S SLOPE,69.73,-72.42
BARNES ICE CAP SOUTH DOME X,69.75,-72
